date,SPY,XLK,XLV,XLF,XLY,XLP,XLE,XLI,XLB,XLU,XLRE,XLC
2017-03-01,204.4146,24.3231,63.9347,20.0458,40.2215,42.8215,24.0959,55.8025,21.8638,19.3038,23.3378,
2017-04-03,206.4436,24.8113,64.9149,19.8769,41.1865,43.2922,23.3858,56.9004,22.1391,19.4505,23.3748,
2017-05-01,209.3571,25.7923,65.4135,19.6404,41.6392,44.4377,22.5584,57.9125,22.1433,20.2557,23.5299,
2017-06-01,210.6919,25.067,68.401,20.9196,41.1148,43.4363,22.5333,58.695,22.5531,19.707,23.9801,
2017-07-03,215.0225,26.1848,68.9621,21.2758,41.9084,43.7367,23.1233,58.8674,22.901,20.1848,24.2706,
2017-08-01,215.6498,26.9498,70.1706,20.945,41.1286,43.2544,21.8565,58.9966,23.0812,20.8486,24.5163,
2017-09-01,219.9947,27.1702,70.8102,22.0201,41.4675,42.9452,24.0821,61.4653,23.9345,20.2738,24.1816,
2017-10-02,225.1787,28.9402,70.273,22.6503,42.3467,42.2371,23.8816,61.9242,24.8615,21.0649,24.3767,
2017-11-01,232.0614,29.3494,72.3177,23.4337,44.4919,44.592,24.3001,64.504,25.0975,21.6305,25.0892,
2017-12-01,234.8762,29.5096,71.9196,23.8761,45.5856,45.5967,25.5807,65.8641,25.6313,20.3201,24.9793,
2018-01-02,248.1136,31.5861,76.6342,25.4416,49.7982,46.3421,26.4976,69.3979,26.656,19.6875,24.5015,
2018-02-01,239.0921,31.4569,73.1896,24.6974,48.0707,42.8075,23.6266,66.7171,25.2502,18.9238,22.8332,
2018-03-01,232.5382,30.2823,71.0549,23.6711,46.9243,42.4193,24.0336,64.9235,24.2032,19.6422,23.7077,
2018-04-02,233.74,30.3008,71.8056,23.5681,48.0408,40.6622,26.3154,63.1145,24.233,20.0426,23.5627,
2018-05-01,239.422,32.3561,71.9366,23.3363,48.9951,40.0255,27.1033,65.0546,24.7303,19.821,24.0891,
2018-06-01,240.7986,32.2709,73.123,22.9286,50.7681,41.8543,27.2578,62.8499,24.7984,20.3788,25.1635,
2018-06-19,240.7986,32.2709,73.123,22.9286,50.7681,41.8543,27.2578,62.8499,24.7984,20.3788,25.1635,45.9256
2018-07-02,249.7193,32.9445,77.9156,24.1013,51.6831,43.5112,27.6814,67.4915,25.5073,20.7043,25.4251,44.9335
2018-08-01,257.6903,35.1185,81.2887,24.429,54.3214,43.6818,26.7194,67.6494,25.3108,20.971,26.0405,45.6011
2018-09-04,259.2221,35.1117,83.6902,23.8878,54.6095,44.113,27.373,69.1224,24.8563,20.835,25.3516,45.5572
2018-10-01,241.3087,32.3011,78.017,22.7618,49.0936,44.9964,24.2721,61.6106,22.5736,21.2466,24.9473,42.8052
2018-11-01,245.7848,31.6672,84.3234,23.3594,50.3095,46.0189,23.8927,63.9559,23.4318,21.9984,26.3156,41.8475
2018-12-03,224.1442,29.0146,76.4361,20.7598,46.3068,41.9165,20.9206,57.1388,21.8177,21.1197,24.3826,38.5046
2019-01-02,242.0905,31.0276,80.1117,22.6074,50.8762,44.0709,23.2662,63.6679,23.0398,21.8541,27.0017,43.0285
2019-02-01,249.938,33.1716,80.9776,23.1129,51.545,44.8551,23.8024,67.722,23.774,22.752,27.3006,42.8326
